//Balance file for Black and White 2		"Last Saved,#2005-08-24 22:58:35#,""probinson"""																				
																						
//Building																						
AZTEC_ABODE_A	370	0	3.5	80	6	3	3	1	4	3	0	0	1	1	1.5	150	0.7	0.6	0.5	0	0.4	0
JAPANESE_ABODE_A	370	0	3.5	80	6	3	3	1	4	3	0	0	1	1	1.5	150	0.7	0.6	0.5	1	0.4	0
EGYPTIAN_ABODE_A	370	0	3.5	80	6	3	3	1	4	3	0	0	1	1	1.5	150	0.7	0.6	0.5	0	0.4	0
GREEK_ABODE_A	370	0	3.5	80	6	3	3	1	4	3	0	0	1	1	1.5	150	0.7	0.6	0.5	0	0.4	0
NORSE_ABODE_A	370	0	3.5	80	6	3	3	1	4	3	0	0	1	1	1.5	150	0.7	0.6	0.5	1	0.4	0
AZTEC_ABODE_B	400	0	4	75	7	3	3	1	6	3	0	0	1	1	2	150	0.7	0.6	0.5	0	0.4	0
JAPANESE_ABODE_B	400	0	4	75	7	3	3	1	6	3	0	0	1	1	2	150	0.7	0.6	0.5	1	0.4	0
EGYPTIAN_ABODE_B	400	0	4	75	7	3	3	1	6	3	0	0	1	1	2	150	0.7	0.6	0.5	0	0.4	0
GREEK_ABODE_B	400	0	4	75	7	3	3	1	6	3	0	0	1	1	2	150	0.7	0.6	0.5	0	0.4	0
NORSE_ABODE_B	400	0	4	75	7	3	3	1	6	3	0	0	1	1	2	150	0.7	0.6	0.5	1	0.4	0
AZTEC_ABODE_C	480	0	4	80	8	4	3	2	5	2	0	0	1	1	2.5	150	0.7	0.6	0.5	0	0.5	0
JAPANESE_ABODE_C	480	0	4	80	8	4	3	2	5	2	0	0	1	1	2.5	150	0.7	0.6	0.5	1	0.5	0
EGYPTIAN_ABODE_C	480	0	4	80	8	4	3	2	5	2	0	0	1	1	2.5	150	0.7	0.6	0.5	0	0.5	0
GREEK_ABODE_C	480	0	4	80	8	4	3	2	5	2	0	0	1	1	2.5	150	0.7	0.6	0.5	0	0.5	0
NORSE_ABODE_C	480	0	4	80	8	4	3	2	5	2	0	0	1	1	2.5	150	0.7	0.6	0.5	1	0.5	0
AZTEC_ABODE_D	1000	250	5	160	10	2	4	3	6	4	0	0	1	1	3	150	0.7	0.6	0.5	0	0.6	0
JAPANESE_ABODE_D	1000	250	5	160	10	2	4	3	6	4	0	0	1	1	3	150	0.7	0.6	0.5	1	0.6	0
EGYPTIAN_ABODE_D	1000	250	5	160	10	2	4	3	6	4	0	0	1	1	3	150	0.7	0.6	0.5	0	0.6	0
GREEK_ABODE_D	    1000 250	5	160	10	4	4	3	6	4	0	0	0	1	1	150	0.7	0.6	0.5	0	0.6	0	
NORSE_ABODE_D	1000	250	5	160	10	2	4	3	6	4	0	0	1	1	3	150	0.7	0.6	0.5	1	0.6	0
AZTEC_ABODE_E	1500	530	5.2	230.7692308	12	2	4	2	6	4	0	0	1	1	4	150	0.7	0.6	0.5	0	0.7	0.008
JAPANESE_ABODE_E	1500	530	5.2	230.7692308	12	2	4	2	6	4	0	0	1	1	4	150	0.7	0.6	0.5	0	0.7	0.008
EGYPTIAN_ABODE_E	1500	530	5.2	230.7692308	12	2	4	2	6	4	0	0	1	1	4	150	0.7	0.6	0.5	0	0.7	0.008
GREEK_ABODE_E	1500	530	5.2	230.7692308	12	6	4	2	6	4	0	0	1	1	4	150	0.7	0.6	0.5	0	0.7	0.008
NORSE_ABODE_E	1500	530	5.2	230.7692308	12	2	4	2	6	4	0	0	1	1	4	150	0.7	0.6	0.5	1	0.7	0.008
AZTEC_SKYSCRAPER	600	350	7	57.14285714	10	2	2	2	4	2	0	5	1	1	4	150	0.7	0.6	0.5	0	0.7	-0.008
JAPANESE_SKYSCRAPER	600	350	7	57.14285714	10	2	2	2	4	2	0	10	1	1	4	150	0.7	0.6	0.5	0	0.7	-0.008
EGYPTIAN_SKYSCRAPER	600	350	7	57.14285714	10	2	2	2	4	2	0	5	1	1	4	150	0.7	0.6	0.5	0	0.7	-0.008
GREEK_SKYSCRAPER	600	350	7	57.14285714	10	4	2	2	4	2	0	50	1	1	4	150	0.7	0.6	0.5	0	0.7	-0.008
